Date,Value
1-Jan-01,32
1-Feb-01,20.2
1-Mar-01,19.6
1-Apr-01,16.8
1-May-01,5.4
1-Jun-01,0
1-Jul-01,0
1-Aug-01,0
1-Sep-01,0
1-Oct-01,3
1-Nov-01,14.8
1-Dec-01,25.7
1-Jan-02,31.9
1-Feb-02,20.2
1-Mar-02,18.3
1-Apr-02,17.2
1-May-02,5.4
1-Jun-02,0
1-Jul-02,0
1-Aug-02,0
1-Sep-02,0
1-Oct-02,3.4
1-Nov-02,20.9
1-Dec-02,26.8
1-Jan-03,31.2
1-Feb-03,20.4
1-Mar-03,18.6
1-Apr-03,18.2
1-May-03,5.4
1-Jun-03,0
1-Jul-03,0
1-Aug-03,0
1-Sep-03,0
1-Oct-03,3
1-Nov-03,14.8
1-Dec-03,26.5
1-Jan-04,31.7
1-Feb-04,20.5
1-Mar-04,19
1-Apr-04,16.6
1-May-04,5.4
1-Jun-04,0
1-Jul-04,0
1-Aug-04,0
1-Sep-04,0
1-Oct-04,3
1-Nov-04,15
1-Dec-04,28.7
1-Jan-05,31.3
1-Feb-05,21.4
1-Mar-05,20.3
1-Apr-05,15.9
1-May-05,7.9
1-Jun-05,0
1-Jul-05,0
1-Aug-05,0
1-Sep-05,0
1-Oct-05,3
1-Nov-05,15
1-Dec-05,25.5
1-Jan-06,34.1
1-Feb-06,22.3
1-Mar-06,17.9
1-Apr-06,17.7
1-May-06,5.8
1-Jun-06,0
1-Jul-06,0
1-Aug-06,0
1-Sep-06,0
1-Oct-06,3
1-Nov-06,17.4
1-Dec-06,24.7
1-Jan-07,31.3
1-Feb-07,25.3
1-Mar-07,18.2
1-Apr-07,17.8
1-May-07,5.8
1-Jun-07,0
1-Jul-07,0
1-Aug-07,0
1-Sep-07,0
1-Oct-07,3
1-Nov-07,15.5
1-Dec-07,25.1
1-Jan-08,34.7
1-Feb-08,20.2
1-Mar-08,18.5
1-Apr-08,16.3
1-May-08,6.2
1-Jun-08,0
1-Jul-08,0
1-Aug-08,0
1-Sep-08,0
1-Oct-08,3
1-Nov-08,15.5
1-Dec-08,25.3
1-Jan-09,33.9
1-Feb-09,20.6
1-Mar-09,18.7
1-Apr-09,20.4
1-May-09,5.4
1-Jun-09,0
1-Jul-09,0
1-Aug-09,0
1-Sep-09,0
1-Oct-09,3
1-Nov-09,15
1-Dec-09,30.7
1-Jan-10,33.4
1-Feb-10,20.8
1-Mar-10,22.7
1-Apr-10,15.9
1-May-10,5.4
1-Jun-10,0
1-Jul-10,0
1-Aug-10,0
1-Sep-10,0
1-Oct-10,3
1-Nov-10,15.2
1-Dec-10,26.3
1-Jan-11,34.5
1-Feb-11,20.5
1-Mar-11,24.3
1-Apr-11,16.1
1-May-11,5.4
1-Jun-11,0
1-Jul-11,0
1-Aug-11,0
1-Sep-11,0
1-Oct-11,3
1-Nov-11,18.6
1-Dec-11,26
1-Jan-12,33.8
1-Feb-12,20.6
1-Mar-12,18.2
1-Apr-12,16.6
1-May-12,5.4
1-Jun-12,0
1-Jul-12,0
1-Aug-12,0
1-Sep-12,0
1-Oct-12,3
1-Nov-12,14.8
1-Dec-12,25.4
1-Jan-13,33.6
1-Feb-13,21.9
1-Mar-13,18
1-Apr-13,16
1-May-13,5.8
1-Jun-13,0
1-Jul-13,0
1-Aug-13,0
1-Sep-13,0
1-Oct-13,3
1-Nov-13,16.8
1-Dec-13,27.9
1-Jan-14,32
1-Feb-14,22.8
1-Mar-14,18.8
1-Apr-14,18.6
1-May-14,5.4
1-Jun-14,0
1-Jul-14,0
1-Aug-14,0
1-Sep-14,0
1-Oct-14,3
1-Nov-14,18.1
1-Dec-14,25.4
1-Jan-15,31.4
1-Feb-15,21
1-Mar-15,24.4
1-Apr-15,20
1-May-15,5.4
1-Jun-15,0
1-Jul-15,0
1-Aug-15,0
1-Sep-15,0
1-Oct-15,3
1-Nov-15,14.8
1-Dec-15,24.7
1-Jan-16,34.2
1-Feb-16,21.3
1-Mar-16,19.2
1-Apr-16,17
1-May-16,5.4
1-Jun-16,0
1-Jul-16,0
1-Aug-16,0
1-Sep-16,0
1-Oct-16,3
1-Nov-16,14.8
1-Dec-16,25.7
1-Jan-17,34.8
1-Feb-17,21.7
1-Mar-17,17.9
1-Apr-17,15.9
1-May-17,5.4
1-Jun-17,0
1-Jul-17,0
1-Aug-17,0
1-Sep-17,0
1-Oct-17,3
1-Nov-17,14.8
1-Dec-17,26.4
1-Jan-18,32.2
1-Feb-18,21.4
1-Mar-18,20.4
1-Apr-18,17.2
1-May-18,5.8
1-Jun-18,0
1-Jul-18,0
1-Aug-18,0
1-Sep-18,0
1-Oct-18,3
1-Nov-18,15.2
1-Dec-18,26.6
1-Jan-19,33.1
1-Feb-19,22.2
1-Mar-19,17.8
1-Apr-19,19.3
1-May-19,6.6
1-Jun-19,0
1-Jul-19,0
1-Aug-19,0
1-Sep-19,0
1-Oct-19,3
1-Nov-19,14.8
1-Dec-19,25.8
1-Jan-20,34.9
1-Feb-20,25.1
1-Mar-20,17.8
1-Apr-20,15.9
1-May-20,5.4
1-Jun-20,0
1-Jul-20,0
1-Aug-20,0
1-Sep-20,0
1-Oct-20,3
1-Nov-20,15.2
1-Dec-20,27.9
1-Jan-21,32.6
1-Feb-21,20.8
1-Mar-21,17.8
1-Apr-21,16.3
1-May-21,5.8
1-Jun-21,0
1-Jul-21,0
1-Aug-21,0
1-Sep-21,0
1-Oct-21,3
1-Nov-21,15.9
1-Dec-21,26.8
1-Jan-22,31.1
1-Feb-22,21
1-Mar-22,17.8
1-Apr-22,15.9
1-May-22,5.4
1-Jun-22,0
1-Jul-22,0
1-Aug-22,0
1-Sep-22,0
1-Oct-22,3
1-Nov-22,14.8
1-Dec-22,25.1
1-Jan-23,35.6
1-Feb-23,20.6
1-Mar-23,20.1
1-Apr-23,18.3
1-May-23,5.4
1-Jun-23,0
1-Jul-23,0
1-Aug-23,0
1-Sep-23,0
1-Oct-23,3.2
1-Nov-23,18.4
1-Dec-23,27
1-Jan-24,37.7
1-Feb-24,21.8
1-Mar-24,17.9
1-Apr-24,15.9
1-May-24,5.4
1-Jun-24,0
1-Jul-24,0
1-Aug-24,0
1-Sep-24,0
1-Oct-24,3.8
1-Nov-24,14.8
1-Dec-24,26.3
1-Jan-25,32.8
1-Feb-25,21
1-Mar-25,17.8
1-Apr-25,15.9
1-May-25,7
1-Jun-25,0
1-Jul-25,0
1-Aug-25,0
1-Sep-25,0
1-Oct-25,3.2
1-Nov-25,18
1-Dec-25,24.6
1-Jan-26,33.3
1-Feb-26,22.1
1-Mar-26,19.9
1-Apr-26,15.9
1-May-26,5.4
1-Jun-26,0
1-Jul-26,0
1-Aug-26,0
1-Sep-26,0
1-Oct-26,3
1-Nov-26,15.9
1-Dec-26,26.1
1-Jan-27,31.1
1-Feb-27,21.5
1-Mar-27,17.9
1-Apr-27,15.9
1-May-27,5.4
1-Jun-27,0
1-Jul-27,0
1-Aug-27,0
1-Sep-27,0
1-Oct-27,3
1-Nov-27,15.5
1-Dec-27,28.2
1-Jan-28,34.8
1-Feb-28,20.3
1-Mar-28,17.9
1-Apr-28,15.9
1-May-28,5.4
1-Jun-28,0
1-Jul-28,0
1-Aug-28,0
1-Sep-28,0
1-Oct-28,3
1-Nov-28,17.5
1-Dec-28,25.5
1-Jan-29,33.7
1-Feb-29,26.4
1-Mar-29,17.8
1-Apr-29,15.9
1-May-29,5.4
1-Jun-29,0
1-Jul-29,0
1-Aug-29,0
1-Sep-29,0
1-Oct-29,3
1-Nov-29,15.5
1-Dec-29,29.5
1-Jan-30,36.4
1-Feb-30,20.8
1-Mar-30,18.3
1-Apr-30,15.9
1-May-30,5.4
1-Jun-30,0
1-Jul-30,0
1-Aug-30,0
1-Sep-30,0
1-Oct-30,3
1-Nov-30,15
1-Dec-30,25.7
1-Jan-31,33.8
1-Feb-31,23.9
1-Mar-31,17.8
1-Apr-31,16.3
1-May-31,5.4
1-Jun-31,0
1-Jul-31,0
1-Aug-31,0
1-Sep-31,0
1-Oct-31,3
1-Nov-31,15
1-Dec-31,24.6
1-Jan-32,31.4
1-Feb-32,20.2
1-Mar-32,18.6
1-Apr-32,15.9
1-May-32,5.4
1-Jun-32,0
1-Jul-32,0
1-Aug-32,0
1-Sep-32,0
1-Oct-32,3
1-Nov-32,14.9
1-Dec-32,27.7
1-Jan-33,32.3
1-Feb-33,22.5
1-Mar-33,20
1-Apr-33,16.5
1-May-33,5.4
1-Jun-33,0
1-Jul-33,0
1-Aug-33,0
1-Sep-33,0
1-Oct-33,3
1-Nov-33,15.1
1-Dec-33,24.6
1-Jan-34,32.5
1-Feb-34,21.1
1-Mar-34,20.3
1-Apr-34,16.6
1-May-34,5.4
1-Jun-34,0
1-Jul-34,0
1-Aug-34,0
1-Sep-34,0
1-Oct-34,3
1-Nov-34,16.6
1-Dec-34,29.2
1-Jan-35,31.7
1-Feb-35,23.3
1-Mar-35,18.1
1-Apr-35,15.9
1-May-35,7.4
1-Jun-35,0
1-Jul-35,0
1-Aug-35,0
1-Sep-35,0
1-Oct-35,3
1-Nov-35,17.3
1-Dec-35,30.6
1-Jan-36,25.9
1-Feb-36,3.5
1-Mar-36,33.6
1-Apr-36,16
1-May-36,6.8
1-Jun-36,0
1-Jul-36,0
1-Aug-36,0
1-Sep-36,0
1-Oct-36,0.1
1-Nov-36,46.2
1-Dec-36,42.1
1-Jan-37,31.5
1-Feb-37,44
1-Mar-37,8.9
1-Apr-37,7.7
1-May-37,5.4
1-Jun-37,0
1-Jul-37,0
1-Aug-37,0
1-Sep-37,0
1-Oct-37,16.1
1-Nov-37,35.5
1-Dec-37,24.6
1-Jan-38,33.3
1-Feb-38,21.8
1-Mar-38,18.4
1-Apr-38,16.5
1-May-38,5.4
1-Jun-38,0
1-Jul-38,0
1-Aug-38,0
1-Sep-38,0
1-Oct-38,3
1-Nov-38,14.9
1-Dec-38,30.8
1-Jan-39,37.2
1-Feb-39,37
1-Mar-39,6.6
1-Apr-39,81
1-May-39,8.1
1-Jun-39,0
1-Jul-39,0
1-Aug-39,0
1-Sep-39,0
1-Oct-39,3
1-Nov-39,15.9
1-Dec-39,27.2
1-Jan-40,33.1
1-Feb-40,21.7
1-Mar-40,17.8
1-Apr-40,15.9
1-May-40,5.4
1-Jun-40,0
1-Jul-40,0
1-Aug-40,0
1-Sep-40,0
1-Oct-40,3
1-Nov-40,19.2
1-Dec-40,25.5
1-Jan-41,1.5
1-Feb-41,40.8
1-Mar-41,19.1
1-Apr-41,49
1-May-41,0.1
1-Jun-41,0
1-Jul-41,0
1-Aug-41,0
1-Sep-41,0
1-Oct-41,0.1
1-Nov-41,2.6
1-Dec-41,70.5
1-Jan-42,29
1-Feb-42,18.8
1-Mar-42,19.1
1-Apr-42,19.7
1-May-42,3.9
1-Jun-42,0
1-Jul-42,0
1-Aug-42,0
1-Sep-42,0
1-Oct-42,2.3
1-Nov-42,11.8
1-Dec-42,26.6
1-Jan-43,25.7
1-Feb-43,49.2
1-Mar-43,61.3
1-Apr-43,7.1
