Date,Value
1901,42.2
1901,27.2
1901,24.1
1901,19.8
1901,6.4
1901,0
1901,0
1901,0
1901,0
1901,4
1901,19.2
1901,33.9
1902,42.2
1902,27.3
1902,23.8
1902,19.9
1902,6.3
1902,0
1902,0
1902,0
1902,0
1902,4
1902,20.6
1902,34.3
1903,42.1
1903,27.3
1903,23.8
1903,20.1
1903,6.3
1903,0
1903,0
1903,0
1903,0
1903,3.9
1903,19.2
1903,34.1
1904,42.3
1904,27.3
1904,23.9
1904,19.8
1904,6.3
1904,0
1904,0
1904,0
1904,0
1904,4
1904,19.2
1904,34.6
1905,42.1
1905,27.5
1905,24.2
1905,19.7
1905,6.8
1905,0
1905,0
1905,0
1905,0
1905,3.9
1905,19.2
1905,33.9
1906,42.8
1906,27.8
1906,23.6
1906,20.1
1906,6.4
1906,0
1906,0
1906,0
1906,0
1906,4
1906,19.8
1906,33.7
1907,42
1907,28.5
1907,23.8
1907,20
1907,6.4
1907,0
1907,0
1907,0
1907,0
1907,4
1907,19.3
1907,33.8
1908,43
1908,27.3
1908,23.8
1908,19.8
1908,6.5
1908,0
1908,0
1908,0
1908,0
1908,3.9
1908,19.3
1908,33.9
1909,42.8
1909,27.5
1909,23.8
1909,20.6
1909,6.3
1909,0
1909,0
1909,0
1909,0
1909,4
1909,19.2
1909,34.9
1910,42.6
1910,27.4
1910,24.8
1910,19.7
1910,6.3
1910,0
1910,0
1910,0
1910,0
1910,3.9
1910,19.2
1910,34.1
1911,42.8
1911,27.3
1911,24.9
1911,19.7
1911,6.3
1911,0
1911,0
1911,0
1911,0
1911,3.9
1911,19.9
1911,34.1
1912,42.7
1912,27.4
1912,23.7
1912,19.8
1912,6.3
1912,0
1912,0
1912,0
1912,0
1912,3.9
1912,19.2
1912,33.8
1913,42.5
1913,27.6
1913,23.7
1913,19.7
1913,6.4
1913,0
1913,0
1913,0
1913,0
1913,3.9
1913,19.6
1913,34.5
1914,42.2
1914,28
1914,23.8
1914,20.3
1914,6.3
1914,0
1914,0
1914,0
1914,0
1914,4
1914,19.9
1914,33.8
1915,42.1
1915,27.4
1915,25.1
1915,20.4
1915,6.4
1915,0
1915,0
1915,0
1915,0
1915,3.9
1915,19.2
1915,33.7
1916,42.8
1916,27.5
1916,23.9
1916,19.9
1916,6.3
1916,0
1916,0
1916,0
1916,0
1916,3.9
1916,19.2
1916,33.9
1917,42.7
1917,27.6
1917,23.6
1917,19.6
1917,6.3
1917,0
1917,0
1917,0
1917,0
1917,3.9
1917,19.2
1917,34.2
1918,42.2
1918,27.6
1918,24.2
1918,20
1918,6.4
1918,0
1918,0
1918,0
1918,0
1918,4
1918,19.2
1918,34.2
1919,42.4
1919,27.7
1919,23.6
1919,20.3
1919,6.5
1919,0
1919,0
1919,0
1919,0
1919,4
1919,19.2
1919,34
1920,43
1920,28.3
1920,23.6
1920,19.7
1920,6.3
1920,0
1920,0
1920,0
1920,0
1920,3.9
1920,19.4
1920,34.5
1921,42.3
1921,27.4
1921,23.6
1921,19.7
1921,6.5
1921,0
1921,0
1921,0
1921,0
1921,3.9
1921,19.5
1921,34.1
1922,42
1922,27.5
1922,23.8
1922,19.6
1922,6.3
1922,0
1922,0
1922,0
1922,0
1922,3.9
1922,19.2
1922,33.8
1923,43
1923,27.4
1923,24.1
1923,20.2
1923,6.4
1923,0
1923,0
1923,0
1923,0
1923,4
1923,19.8
1923,34.2
1924,43.5
1924,27.6
1924,23.7
1924,19.7
1924,6.3
1924,0
1924,0
1924,0
1924,0
1924,4.1
1924,19.2
1924,34.1
1925,42.4
1925,27.4
1925,23.6
1925,19.7
1925,6.6
1925,0
1925,0
1925,0
1925,0
1925,4
1925,19.8
1925,33.7
1926,42.6
1926,27.8
1926,24
1926,19.7
1926,6.4
1926,0
1926,0
1926,0
1926,0
1926,3.9
1926,19.5
1926,34
1927,42
1927,27.6
1927,23.7
1927,19.7
1927,6.3
1927,0
1927,0
1927,0
1927,0
1927,3.9
1927,19.3
1927,34.4
1928,42.9
1928,27.3
1928,23.6
1928,19.7
1928,6.3
1928,0
1928,0
1928,0
1928,0
1928,3.9
1928,19.7
1928,33.9
1929,42.7
1929,28.7
1929,23.6
1929,19.7
1929,6.3
1929,0
1929,0
1929,0
1929,0
1929,4
1929,19.3
1929,34.8
1930,43.3
1930,27.6
1930,23.8
1930,19.7
1930,6.3
1930,0
1930,0
1930,0
1930,0
1930,4
1930,19.2
1930,33.9
1931,42.7
1931,28.2
1931,23.6
1931,19.8
1931,6.3
1931,0
1931,0
1931,0
1931,0
1931,3.9
1931,19.3
1931,33.7
1932,42.2
1932,27.3
1932,23.8
1932,19.7
1932,6.3
1932,0
1932,0
1932,0
1932,0
1932,3.9
1932,19.2
1932,34.3
1933,42.3
1933,27.7
1933,24.1
1933,19.8
1933,6.3
1933,0
1933,0
1933,0
1933,0
1933,3.9
1933,19.2
1933,33.7
1934,42.3
1934,27.6
1934,24.1
1934,19.8
1934,6.4
1934,0
1934,0
1934,0
1934,0
1934,3.9
1934,19.5
1934,34.6
1935,42.1
1935,27.9
1935,23.7
1935,19.7
1935,6.7
1935,0
1935,0
1935,0
1935,0
1935,3.9
1935,19.7
1935,34.9
1936,32.4
1936,4.1
1936,41.6
1936,19.7
1936,7.8
1936,0
1936,0
1936,0
1936,0
1936,0.2
1936,55.9
1936,55.5
1937,42.1
1937,54.8
1937,11.1
1937,9.8
1937,6.3
1937,0
1937,0
1937,0
1937,0
1937,20.6
1937,42
1937,33.7
1938,42.6
1938,27.6
1938,23.8
1938,19.8
1938,6.3
1938,0
1938,0
1938,0
1938,0
1938,3.9
1938,19.2
1938,35.1
1939,49.3
1939,47.7
1939,6.6
1939,93.1
1939,9.3
1939,0
1939,0
1939,0
1939,0
1939,4
1939,19.4
1939,34.2
1940,42.6
1940,27.6
1940,23.6
1940,19.7
1940,6.3
1940,0
1940,0
1940,0
1940,0
1940,3.9
1940,20.1
1940,33.9
1941,3.1
1941,51.4
1941,23.9
1941,56.8
1941,0.5
1941,0
1941,0
1941,0
1941,0
1941,0.2
1941,5.2
1941,85
1942,31.8
1942,23
1942,23.9
1942,25.5
1942,2.8
1942,0
1942,0
1942,0
1942,0
1942,2
1942,10.7
1942,34.7
1943,33.8
1943,57.9
1943,75.1
1943,7.5
1943,0.4
1943,0
1943,0
1943,0
1943,0
1943,0.8
1943,12.5
1943,31
1944,30.2
1944,2.8
1944,4.7
1944,10.7
1944,6.5
1944,0
1944,0
1944,0
1944,0
1944,1
1944,17.2
1944,35.3
1945,65.3
1945,31.5
1945,7.3
1945,5.4
1945,5.1
1945,0
1945,0
1945,0
1945,0
1945,18
1945,45
1945,63.1
1946,57.9
1946,29.3
1946,89.7
1946,43.7
1946,1.8
1946,0
1946,0
1946,0
1946,0
1946,2.9
1946,37.2
1946,28.7
1947,58.9
1947,38.3
1947,23.2
1947,23.1
1947,4.2
1947,0
1947,0
1947,0
1947,0
1947,0.2
1947,33.1
1947,16.7
1948,30.1
1948,27
1948,16.9
1948,18.3
1948,4.8
1948,0
1948,0
1948,0
1948,0
1948,0.9
1948,13.5
1948,55.6
1949,61.4
1949,13.6
1949,36.5
1949,19.4
1949,2.6
1949,0
1949,0
1949,0
1949,0
1949,0.2
1949,2.3
1949,78.3
1950,42.7
1950,17.7
1950,33.7
1950,8.4
1950,2.9
1950,0
1950,0
1950,0
1950,0
1950,0.2
1950,19.7
1950,21.9
1951,53.5
1951,27.8
1951,14.4
1951,5.1
1951,6.4
1951,0
1951,0
1951,0
1951,0
1951,0.5
1951,10.9
1951,30.6
1952,42.2
1952,30.5
1952,6
1952,29.5
1952,0.9
1952,0
1952,0
1952,0
1952,0
1952,0.2
1952,16.7
1952,41.1
1953,25.4
1953,48.2
1953,34.5
1953,18.5
1953,2.6
1953,0
1953,0
1953,0
1953,0
1953,2.4
1953,38.7
1953,36.4
1954,21.5
1954,37.7
1954,50.4
1954,27.6
1954,2
1954,0
1954,0
1954,0
1954,0
1954,1
1954,74.6
1954,63.6
1955,26.3
1955,4.3
1955,30.4
1955,11.9
1955,4.9
1955,0
1955,0
1955,0
1955,0
1955,0.3
1955,14.1
1955,43.6
1956,25.5
1956,19.4
1956,14.6
1956,20.8
1956,1.5
1956,0
1956,0
1956,0
1956,0
1956,1
1956,2.9
1956,45.2
1957,27.8
1957,32.4
1957,24.5
1957,37
1957,14.5
1957,0
1957,0
1957,0
1957,0
1957,4.5
1957,44.5
1957,13.1
1958,32.3
1958,3.2
1958,12
1958,3.2
1958,4.7
1958,0
1958,0
1958,0
1958,0
1958,2.2
1958,18
1958,64
1959,39.8
1959,22.3
1959,14.3
1959,12.9
1959,8.2
1959,0
1959,0
1959,0
1959,0
1959,1.8
1959,17.4
1959,26.9
1960,28.6
1960,12.3
1960,23.5
1960,14.5
1960,1.8
1960,0
1960,0
1960,0
1960,0
1960,1.1
1960,17.5
1960,17.6
1961,74.2
1961,29.1
1961,41.2
1961,44.2
1961,1.4
1961,0
1961,0
1961,0
1961,0
1961,0.2
1961,34
1961,23.6
1962,38
1962,15.6
1962,6.1
1962,44.2
1962,0.8
1962,0
1962,0
1962,0
1962,0
1962,0.4
1962,21.9
1962,27.3
1963,14
1963,33.1
1963,5.7
1963,26.7
1963,28.1
1963,0
1963,0
1963,0
1963,0
1963,0.4
1963,12.4
1963,22.5
1964,12.1
1964,14.6
1964,7.4
1964,2.6
1964,0.5
1964,0
1964,0
1964,0
1964,0
1964,0.2
1964,7.4
1964,30.5
1965,85.6
1965,4.7
1965,17.4
1965,12.2
1965,3.3
1965,0
1965,0
1965,0
1965,0
1965,14
1965,18
1965,3.5
1966,27.7
1966,53.2
1966,19.5
1966,10.2
1966,1.3
1966,0
1966,0
1966,0
1966,0
1966,8.9
1966,0.9
1966,10.7
1967,20.2
1967,44.5
1967,5.9
1967,9.4
1967,23.2
1967,0
1967,0
1967,0
1967,0
1967,2.2
1967,71.7
1967,10.6
1968,15.7
1968,25.6
1968,15.8
1968,37.4
1968,14.2
1968,0
1968,0
1968,0
1968,0
1968,3.7
1968,28
1968,33.1
1969,78.8
1969,24.2
1969,18.5
1969,55.1
1969,16.4
1969,0
1969,0
1969,0
1969,0
1969,12.2
1969,17.6
1969,13.1
1970,75.6
1970,10.4
1970,15.5
1970,11.2
1970,7
1970,0
1970,0
1970,0
1970,0
1970,1.8
1970,6.8
1970,38.3
1971,19
1971,28.9
1971,23.3
1971,49.4
1971,5.3
1971,0
1971,0
