Date,Value
1901,57
1901,35.5
1901,37.5
1901,24
1901,8.4
1901,0
1901,0
1901,0
1901,0.1
1901,6
1901,27.2
1901,50.8
1902,63.6
1902,36.6
1902,37.4
1902,25.7
1902,6.1
1902,0
1902,0
1902,0
1902,0.1
1902,5.1
1902,29.7
1902,57.8
1903,61.4
1903,36.1
1903,35.3
1903,23.5
1903,6.9
1903,0
1903,0
1903,0
1903,0.1
1903,5
1903,25
1903,47.5
1904,68.4
1904,36
1904,37.5
1904,24.8
1904,6.2
1904,0
1904,0
1904,0
1904,0.1
1904,5.2
1904,24.9
1904,55.4
1905,65.9
1905,35.8
1905,39.3
1905,22.6
1905,7
1905,0
1905,0
1905,0
1905,0.1
1905,5
1905,25.2
1905,50.2
1906,74
1906,44.5
1906,31.7
1906,27.4
1906,9.2
1906,0
1906,0
1906,0
1906,0.1
1906,5.6
1906,37.2
1906,49.6
1907,56.8
1907,54.4
1907,37.1
1907,24.3
1907,7.7
1907,0
1907,0
1907,0
1907,0.1
1907,6.7
1907,27
1907,48.5
1908,78
1908,38.6
1908,37.6
1908,26.3
1908,6.9
1908,0
1908,0
1908,0
1908,0.1
1908,5
1908,24.9
1908,54.3
1909,76
1909,45.1
1909,34.9
1909,27.3
1909,6.5
1909,0
1909,0
1909,0
1909,0.1
1909,5
1909,24.8
1909,50.2
1910,69.1
1910,37.7
1910,44.4
1910,22.6
1910,6.3
1910,0
1910,0
1910,0
1910,0.1
1910,5
1910,24.8
1910,53
1911,64.8
1911,35.6
1911,33.5
1911,24.9
1911,6.2
1911,0
1911,0
1911,0
1911,0.1
1911,5
1911,29.9
1911,59.4
1912,72.5
1912,37.8
1912,31.4
1912,23.1
1912,6.1
1912,0
1912,0
1912,0
1912,0.1
1912,5
1912,24.7
1912,47.4
1913,62
1913,36.2
1913,32.9
1913,23.5
1913,6.5
1913,0
1913,0
1913,0
1913,0.1
1913,5
1913,28.7
1913,62.2
1914,59.2
1914,49.5
1914,30.5
1914,30.1
1914,6.1
1914,0
1914,0
1914,0
1914,0.1
1914,6.2
1914,32.5
1914,47.3
1915,60.1
1915,36.9
1915,45.5
1915,25.2
1915,7.7
1915,0
1915,0
1915,0
1915,0.1
1915,5.6
1915,24.7
1915,52.4
1916,64.8
1916,40.2
1916,34
1916,24.2
1916,6.7
1916,0
1916,0
1916,0
1916,0.1
1916,5.6
1916,25.4
1916,47.3
1917,59.5
1917,41.5
1917,29.9
1917,22.1
1917,6.3
1917,0
1917,0
1917,0
1917,0.1
1917,5
1917,24.7
1917,57.8
1918,57.5
1918,42.2
1918,34.4
1918,30.3
1918,6.6
1918,0
1918,0
1918,0
1918,0.1
1918,5.6
1918,24.8
1918,55.1
1919,59.3
1919,40
1919,29.9
1919,24.4
1919,6.5
1919,0
1919,0
1919,0
1919,0.1
1919,5.1
1919,24.7
1919,56.2
1920,75.8
1920,43.8
1920,31.2
1920,23.6
1920,6.1
1920,0
1920,0
1920,0
1920,0.1
1920,5.1
1920,35.8
1920,59.1
1921,61.2
1921,37
1921,32.9
1921,23.7
1921,9.9
1921,0
1921,0
1921,0
1921,0.1
1921,5
1921,35
1921,48.1
1922,57.6
1922,39.6
1922,42.9
1922,22.2
1922,6.1
1922,0
1922,0
1922,0
1922,0.1
1922,5
1922,24.7
1922,52.6
1923,65.3
1923,39.9
1923,33.7
1923,27
1923,8.4
1923,0
1923,0
1923,0
1923,0.1
1923,5.7
1923,26.7
1923,49.8
1924,70.2
1924,40.7
1924,35.7
1924,22.5
1924,6.4
1924,0
1924,0
1924,0
1924,0.1
1924,5.3
1924,24.7
1924,55.8
1925,61.1
1925,37.3
1925,30.4
1925,25.9
1925,6.4
1925,0
1925,0
1925,0
1925,0.1
1925,8.1
1925,27.6
1925,46.6
1926,65.8
1926,49.7
1926,31
1926,26.1
1926,7.9
1926,0
1926,0
1926,0
1926,0.1
1926,5
1926,34.7
1926,50.6
1927,58.8
1927,39.9
1927,32.8
1927,27.7
1927,6.2
1927,0
1927,0
1927,0
1927,0.1
1927,5
1927,25.7
1927,49.6
1928,69.5
1928,38.7
1928,30.1
1928,23.1
1928,6.2
1928,0
1928,0
1928,0
1928,0.1
1928,5
1928,26.8
1928,49.7
1929,68.5
1929,49.9
1929,30.8
1929,22.4
1929,6.9
1929,0
1929,0
1929,0
1929,0.1
1929,6.9
1929,29.6
1929,58.4
1930,79.1
1930,48.8
1930,37.4
1930,24.8
1930,7.4
1930,0
1930,0
1930,0
1930,0.1
1930,5.8
1930,26
1930,48.7
1931,68.7
1931,48.1
1931,33.6
1931,24.8
1931,6.6
1931,0
1931,0
1931,0
1931,0.1
1931,5
1931,30.1
1931,49.9
1932,65.6
1932,35.9
1932,32.7
1932,23.1
1932,6.1
1932,0
1932,0
1932,0
1932,0.1
1932,5.1
1932,25.2
1932,47.7
1933,63.5
1933,37.1
1933,34.1
1933,22.6
1933,6.1
1933,0
1933,0
1933,0
1933,0.1
1933,5.1
1933,24.8
1933,47.4
1934,62.1
1934,47.3
1934,32.2
1934,24.4
1934,9.8
1934,0
1934,0
1934,0
1934,0.1
1934,5
1934,25.6
1934,49.1
1935,58.7
1935,37.6
1935,32.3
1935,27.7
1935,7.8
1935,0
1935,0
1935,0
1935,0.1
1935,5
1935,34
1935,51.9
1936,48.1
1936,16
1936,53.5
1936,22.7
1936,7.9
1936,0
1936,0
1936,0
1936,0
1936,0.5
1936,70.6
1936,80.1
1937,57.2
1937,72.9
1937,17.2
1937,11.6
1937,6.1
1937,0
1937,0
1937,0
1937,0
1937,25.4
1937,53.2
1937,46.9
1938,69.8
1938,38.3
1938,35.3
1938,23
1938,7.6
1938,0
1938,0
1938,0
1938,0.1
1938,5
1938,30.7
1938,62.7
1939,75.9
1939,68.6
1939,14.1
1939,103.5
1939,8.9
1939,0
1939,0
1939,0
1939,0.1
1939,5.4
1939,26.1
1939,48.9
1940,71.1
1940,42.1
1940,31.1
1940,22.4
1940,6.1
1940,0
1940,0
1940,0
1940,0.1
1940,5
1940,32
1940,49.9
1941,6.9
1941,73.7
1941,34
1941,72.2
1941,1.4
1941,0
1941,0
1941,0
1941,0
1941,0.5
1941,16.1
1941,109.7
1942,40.3
1942,38.3
1942,34
1942,33.8
1942,2.1
1942,0
1942,0
1942,0
1942,0
1942,3.2
1942,12.2
1942,51.5
1943,54.8
1943,85.6
1943,104.2
1943,10.2
1943,1
1943,0
1943,0
1943,0
1943,0
1943,1.3
1943,18.4
1943,47.1
1944,51.6
1944,7.4
1944,10.5
1944,13.9
1944,5.3
1944,0
1944,0
1944,0
1944,0
1944,1.5
1944,23.1
1944,47.5
1945,91.8
1945,40.6
1945,21
1945,9.2
1945,7.7
1945,0
1945,0
1945,0
1945,0
1945,19.5
1945,57.9
1945,94.3
1946,83.9
1946,42.2
1946,102.8
1946,47.4
1946,2.4
1946,0
1946,0
1946,0
1946,0
1946,3.7
1946,43.7
1946,42.1
1947,82.1
1947,47.5
1947,36.7
1947,28.3
1947,5.3
1947,0
1947,0
1947,0
1947,0
1947,0.5
1947,38.2
1947,25.8
1948,45.8
1948,35.7
1948,23.8
1948,26.5
1948,5.6
1948,0
1948,0
1948,0
1948,0
1948,1.3
1948,22
1948,86.7
1949,96.7
1949,24.2
1949,51.9
1949,26.5
1949,3.6
1949,0
1949,0
1949,0
1949,0
1949,0.5
1949,5.7
1949,100.6
1950,67
1950,26.9
1950,45.9
1950,12.9
1950,4.8
1950,0
1950,0
1950,0
1950,0
1950,0.5
1950,23.2
1950,39.5
1951,76.3
1951,42
1951,19.6
1951,6.1
1951,6.1
1951,0
1951,0
1951,0
1951,0.2
1951,0.6
1951,17.9
1951,47.4
1952,67.4
1952,42.4
1952,10.4
1952,37
1952,1.8
1952,0
1952,0
1952,0
1952,0.2
1952,0.1
1952,24
1952,60.7
1953,39.6
1953,68.4
1953,43.9
1953,21.7
1953,2.9
1953,0
1953,0
1953,0
1953,0
1953,3.8
1953,58.9
1953,55.5
1954,30.1
1954,54.4
1954,69.9
1954,33.7
1954,1.8
1954,0
1954,0
1954,0
1954,0
1954,1.4
1954,101.9
1954,94.9
1955,41.4
1955,8.2
1955,44.5
1955,16.6
1955,5.2
1955,0
1955,0
1955,0
1955,0
1955,0.5
1955,20.2
1955,60.4
1956,38.8
